Ocean_blue,Blue,Green1,Green,Yellow,Red,RedEdge,NIR,NDVI,GNDVI,EVI,SAVI,NDRE,MSAVI,DVI,RVI,ARVI,VARI,TVI,GEMI,PC_Ocean_blue,PC_Blue,PC_Green1,PC_Green,PC_Yellow,PC_Red,PC_RedEdge,PC_NIR,PC_NDVI,PC_GNDVI,PC_EVI,PC_SAVI,PC_NDRE,PC_MSAVI,PC_DVI,PC_RVI,PC_ARVI,PC_VARI,PC_TVI,PC_GEMI,VV,VH,VV/VH,VH/VV,VV-VH,(VV+VH)/2,VH-VV,TanDEM Canopy height (m),AGB(kg/9 sq.m)
264,375,596,751,709,610,1144,2902,0.65261959,0.588831098,1.527796294,0.978790036,0.434503213,0.789771531,2292,4.757377049,0.548972511,0.143002028,143160,-5250223.971,49268.83984,-330.8711243,110.1070328,-17.50011826,14.50851727,8.538088799,12.24910641,-6.809988499,3175831,-22230.7207,-16145.77832,-14.61735439,0.94493562,0.060293242,0.036066461,-0.00858373,-0.003211182,-0.00521961,0.000107474,6.19E-08,-10.6766,-18.3452,0.581983,1.71826,7.66861,-14.5109,-7.66861,3.98875,17.68599
212,317,518,634,618,503,1040,2765,0.692166463,0.626949103,1.660061647,1.038090867,0.453350854,0.818056268,2262,5.497017893,0.60104227,0.159756098,140960,-5113599.079,49004.73438,-289.3939209,62.72302628,-46.40753937,16.24829102,15.27418137,-9.007480621,3.279122353,3039197.5,-23310.85742,-16519.31836,-11.17070961,-0.289095908,0.041751746,0.059372038,0.00337678,0.005264308,-0.007284112,7.75E-05,3.13E-10,-9.77579,-14.1649,0.690143,1.44897,4.38908,-11.9703,-4.38908,3.16075,76.9788
223,288,527,689,589,463,1171,3255,0.750941366,0.650608519,1.801755292,1.126260589,0.470854044,0.857738553,2792,7.030237581,0.672232212,0.261574074,176560,-7791423.675,49224.0625,-748.9452515,106.9497375,-50.48241806,-19.40855598,12.20101261,24.5305481,-6.540679932,5717101.5,805.1656494,-2279.389404,-10.8619957,0.539986193,0.041026261,0.014506395,0.006441636,-0.003280462,-0.004024384,0.000123444,1.37E-08,-8.44269,-14.1981,0.594635,1.6817,5.75543,-11.3204,-5.75543,5.52332,41.77188
263,339,586,754,689,492,1300,3199,0.733405581,0.618517582,1.874913423,1.099959366,0.422093799,0.846181595,2707,6.50203252,0.664412071,0.288864388,172900,-7324149.304,49370.01172,-648.0383301,117.4579849,-25.90253448,-115.4882355,-1.572296739,-5.591112137,-7.011435509,5249868.5,-4402.479492,-7111.625977,-46.18055344,0.97000587,-0.03449947,-0.017701743,0.034515355,0.002110567,0.00421246,0.00023437,1.29E-08,-7.46605,-15.025,0.496909,2.01244,7.55895,-11.2455,-7.55895,3.2666,19.22859
283,340,611,753,636,470,1248,3316,0.751716852,0.629884493,1.983551715,1.127426383,0.453111306,0.858244623,2846,7.055319149,0.693564862,0.320498301,182080,-8095800.297,49383.99219,-760.3796387,109.3033981,-88.22379303,-61.4566803,3.388882637,19.47663689,12.32353306,6021519,2969.339844,-2015.963989,-41.74979782,1.010156631,-0.105578698,-0.01086008,0.020382741,0.000274972,0.009251567,0.000305812,-2.01E-09,-9.26768,-13.8514,0.669078,1.49459,4.58373,-11.5595,-4.58373,4.95541,43.74495
279,328,603,724,721,571,1133,2821,0.663325472,0.591537377,1.484952482,0.994841562,0.426909459,0.79756089,2250,4.940455342,0.55213205,0.158221303,141120,-5059503.644,49207.32031,-272.9873657,111.1121063,-29.16051483,-21.29569244,47.93128967,-6.945943832,26.12789345,2985117.25,-24142.3125,-17615.62109,-27.19283295,0.55227071,0.154444739,0.029010173,-0.001806812,-0.009758804,-0.007536729,8.19E-05,1.27E-08,-9.51745,-14.5729,0.653093,1.53118,5.05544,-12.0452,-5.05544,1.98086,7.60635
174,246,546,655,600,395,1182,3931,0.817383264,0.714348016,1.983396904,1.225933202,0.53764913,0.899505165,3536,9.951898734,0.756871508,0.323383085,222560,-12498314.94,49420.38672,-1386.860596,191.1949768,-64.58612823,76.84067535,10.53905582,-39.2990799,30.9867897,10423777,49686.48047,37998.14063,79.75137329,1.042499542,-0.192220032,0.070900142,-0.013755705,-0.010680276,-0.009785238,5.75E-05,-9.70E-09,-8.01295,-16.1961,0.494745,2.02124,8.18317,-12.1045,-8.18317,3.40644,47.04516
180,264,518,678,550,400,1209,3539,0.796902767,0.678444392,1.981691919,1.195202437,0.49073294,0.886959556,3139,8.8475,0.736932515,0.341523342,199460,-9848931.307,49276.13672,-1041.825073,134.521698,-60.97859192,-24.25213432,-15.96375084,19.46453857,-2.641540766,7774576.5,21078.97656,12758.63086,3.747874975,0.152261063,-0.013543281,-0.014604595,0.004530566,-0.003346466,-0.000783542,0.000177021,-1.15E-08,-9.0875,-14.7888,0.614486,1.62738,5.7013,-11.9382,-5.7013,3.44778,28.66932
181,271,546,723,598,397,1240,3462,0.794247214,0.654480287,2.009836066,1.191216479,0.472564866,0.885311737,3065,8.720403023,0.737515684,0.383981154,196940,-9389942.859,49303.08984,-952.6737061,167.0247955,-66.67682648,-69.85691071,-20.783741,5.582408905,-4.312375546,7315652.5,15542.66113,7023.15918,-39.46417618,0.084956951,0.041255396,-0.055653229,0.007301163,-0.006369838,0.003831202,0.000241601,7.55E-10,-8.42841,-14.029,0.600784,1.66449,5.60061,-11.2287,-5.60061,2.92637,42.00606
264,355,567,731,670,490,1217,2801,0.702218171,0.586070215,1.876116253,1.053167249,0.394225983,0.82503671,2311,5.716326531,0.635143024,0.278290993,148300,-5337598.518,49177.40625,-291.9646912,71.17094421,-48.96459961,-128.1249237,-2.26774931,-1.194965839,-15.21389484,3263298,-23001.72852,-19340.15039,-79.54712677,0.048097648,-0.034814306,-0.022322211,0.048197351,0.006924729,0.004752331,0.00022923,2.39E-09,-8.84752,-16.0619,0.550841,1.81541,7.21433,-12.4547,-7.21433,2.44463,6.67764
284,379,580,696,657,537,1197,2656,0.663639211,0.584725537,1.744607278,0.995302959,0.378665975,0.797785895,2119,4.945996276,0.585198448,0.18618267,133500,-4487338.76,49136.28516,-149.1688538,18.20776939,-32.30139923,-109.6376877,-6.173592091,12.36435318,6.411542892,2412936.25,-29289.77539,-20645.56641,-44.78960037,-0.029604256,-0.072569557,0.019345108,0.049476288,0.015169033,-0.000265992,0.000165771,-2.26E-09,-8.64662,-14.9975,0.576537,1.73449,6.35088,-11.8221,-6.35088,3.71402,14.72364
